alignment_matrix_row,correct_donor_top1,correct_donor_top1_minus_chance,diagonal_alignment_margin,future_noise_seed,initial_state_index,mean_other_alignment,own_alignment,prefix_chunks,target,task_id,unit_id
"{""joint"": 0.33385683474020933, ""natural"": 0.23828777158608616, ""object"": 0.48311561695562055, ""robot"": 0.3362543554076877}",0.0,-0.25,-0.015499052352951015,1201,17,0.35175340776063874,0.3362543554076877,7,robot,2,task02_state17
"{""joint"": 0.29410224543271246, ""natural"": 0.11050526615284134, ""object"": 0.46643680413788585, ""robot"": 0.28421852015481675}",0.0,-0.25,0.007048715284197815,1201,17,0.28705353014851465,0.29410224543271246,7,joint,2,task02_state17
"{""joint"": -0.07344068319905322, ""natural"": 0.21636087698118925, ""object"": -0.16954192731448892, ""robot"": -0.0670456337252437}",1.0,0.75,0.31970362506078454,1201,17,-0.10334274807959527,0.21636087698118925,7,natural,2,task02_state17
"{""joint"": -0.26543644880102035, ""natural"": 0.17543481582445317, ""object"": -0.4492299354544121, ""robot"": -0.25789904364614274}",0.0,-0.25,-0.3332630432468421,1213,17,-0.11596689220756999,-0.4492299354544121,7,object,2,task02_state17
"{""joint"": 0.2952926143397974, ""natural"": 0.38236750041255574, ""object"": 0.346982612858492, ""robot"": 0.306776983426183}",0.0,-0.25,-0.03477059244409875,1213,17,0.3415475758702817,0.306776983426183,7,robot,2,task02_state17
"{""joint"": 0.1994517795476773, ""natural"": 0.260032671412822, ""object"": 0.24982739129805645, ""robot"": 0.2050497912547554}",0.0,-0.25,-0.03885150510753396,1213,17,0.23830328465521125,0.1994517795476773,7,joint,2,task02_state17
"{""joint"": -0.13715820472364781, ""natural"": 0.3400855886525067, ""object"": -0.31895400494783016, ""robot"": -0.12294946147205629}",1.0,0.75,0.5331061457003514,1213,17,-0.19302055704784474,0.3400855886525067,7,natural,2,task02_state17
"{""joint"": -0.3471091711805408, ""natural"": -0.09579808536230223, ""object"": -0.44012775161665085, ""robot"": -0.34523941536211283}",0.0,-0.25,-0.17741219431499888,1217,17,-0.26271555730165197,-0.44012775161665085,7,object,2,task02_state17
"{""joint"": 0.11211005000121373, ""natural"": 0.1853051002536505, ""object"": 0.17905467841458814, ""robot"": 0.1291513550254415}",0.0,-0.25,-0.029671921197709283,1217,17,0.1588232762231508,0.1291513550254415,7,robot,2,task02_state17
"{""joint"": 0.06948863044382785, ""natural"": 0.10927422623007269, ""object"": 0.12677441624591068, ""robot"": 0.07788015134674665}",0.0,-0.25,-0.035154300830415486,1217,17,0.10464293127424333,0.06948863044382785,7,joint,2,task02_state17
"{""joint"": -0.24655923461785528, ""natural"": 0.09445469969718608, ""object"": -0.3408405246983622, ""robot"": -0.23294671312928236}",1.0,0.75,0.36790352384568603,1217,17,-0.27344882414849997,0.09445469969718608,7,natural,2,task02_state17
"{""joint"": -0.0016346238032428463, ""natural"": 0.16424270519105696, ""object"": -0.01821414593245317, ""robot"": -0.0012655479890875385}",0.0,-0.25,-0.07199499039869536,1201,17,0.0537808444662422,-0.01821414593245317,16,object,9,task09_state17
"{""joint"": -0.0027209036237599454, ""natural"": 0.03926925303783064, ""object"": -0.016427344539355893, ""robot"": -0.00261208158574115}",0.0,-0.25,-0.009319083210646083,1201,17,0.006707001624904933,-0.00261208158574115,16,robot,9,task09_state17
"{""joint"": -0.003355398133567355, ""natural"": 0.12119935495304358, ""object"": -0.036721491504172095, ""robot"": -0.0030403275560663854}",0.0,-0.25,-0.03050124343116906,1201,17,0.027145845297601705,-0.003355398133567355,16,joint,9,task09_state17
"{""joint"": -0.0010557784865191425, ""natural"": 0.15621122178768332, ""object"": -0.013954057815529546, ""robot"": -0.0007488396809680862}",1.0,0.75,0.16146411378202224,1201,17,-0.005252891994338925,0.15621122178768332,16,natural,9,task09_state17
"{""joint"": -0.00019866604641972794, ""natural"": 0.13592251407125128, ""object"": -0.015500066661499686, ""robot"": -3.735603358900781e-05}",0.0,-0.25,-0.06072889732524721,1213,17,0.04522883066374752,-0.015500066661499686,16,object,9,task09_state17
"{""joint"": -0.0025660019753727123, ""natural"": 0.05546420059524539, ""object"": -0.02439243592276005, ""robot"": -0.002583067877050244}",0.0,-0.25,-0.01208498877608779,1213,17,0.009501920899037545,-0.002583067877050244,16,robot,9,task09_state17
"{""joint"": -0.002839960749167272, ""natural"": 0.12977029836140222, ""object"": 0.017315235836402824, ""robot"": -0.0027756862535203686}",0.0,-0.25,-0.05094324339726216,1213,17,0.04810328264809489,-0.002839960749167272,16,joint,9,task09_state17
"{""joint"": -0.00019065797925412934, ""natural"": 0.1193386239478008, ""object"": -0.015102466053212207, ""robot"": -7.02313410910917e-05}",1.0,0.75,0.12445974240565327,1213,17,-0.0051211184578524764,0.1193386239478008,16,natural,9,task09_state17
"{""joint"": -0.0008964881138715119, ""natural"": 0.06967527296423466, ""object"": 0.012833876076031165, ""robot"": -0.0008499664068849707}",0.0,-0.25,-0.009809063405128226,1217,17,0.02264293948115939,0.012833876076031165,16,object,9,task09_state17
"{""joint"": -0.004080439040854582, ""natural"": -0.02361288727542681, ""object"": 0.03102326308213337, ""robot"": -0.00423685921463256}",0.0,-0.25,-0.005346838136583219,1217,17,0.0011099789219506592,-0.00423685921463256,16,robot,9,task09_state17
"{""joint"": -0.004646799432072913, ""natural"": -0.01583818067669127, ""object"": 0.027823330083271026, ""robot"": -0.004611563791227763}",0.0,-0.25,-0.007104661303856911,1217,17,0.002457861871783998,-0.004646799432072913,16,joint,9,task09_state17
"{""joint"": -0.0011853786308009759, ""natural"": 0.04390774293237542, ""object"": -0.02347980282276861, ""robot"": -0.001076430753732681}",1.0,0.75,0.05248828033480951,1217,17,-0.008580537402434089,0.04390774293237542,16,natural,9,task09_state17
"{""joint"": 0.8318753541897719, ""natural"": 1.7918153929394547, ""object"": 1.8455048289301805, ""robot"": 0.8521749970625934}",1.0,0.75,0.6868829141995738,1201,35,1.1586219147306067,1.8455048289301805,14,object,9,task09_state35
"{""joint"": 0.8683020888435294, ""natural"": 1.8999573209118716, ""object"": 1.9093423219054293, ""robot"": 0.8912053458240539}",0.0,-0.25,-0.667995231396223,1201,35,1.5592005772202768,0.8912053458240539,14,robot,9,task09_state35
"{""joint"": 0.838794481265051, ""natural"": 1.8045860799724598, ""object"": 1.8621711279946025, ""robot"": 0.8573817054151873}",0.0,-0.25,-0.669251823195699,1201,35,1.50804630446075,0.838794481265051,14,joint,9,task09_state35
"{""joint"": 0.7947579756540283, ""natural"": 1.725809413073071, ""object"": 1.7423425691834618, ""robot"": 0.8158458036829043}",0.0,-0.25,0.6081606302329394,1201,35,1.1176487828401316,1.725809413073071,14,natural,9,task09_state35
"{""joint"": 0.8286966903334236, ""natural"": 1.7221731047470619, ""object"": 1.821207550464602, ""robot"": 0.8545802360208585}",1.0,0.75,0.6860575400974873,1213,35,1.1351500103671146,1.821207550464602,14,object,9,task09_state35
"{""joint"": 0.8432970104269558, ""natural"": 1.7507538657819892, ""object"": 1.852139710980734, ""robot"": 0.8660196567785645}",0.0,-0.25,-0.616043872284662,1213,35,1.4820635290632265,0.8660196567785645,14,robot,9,task09_state35
"{""joint"": 0.8294691968552151, ""natural"": 1.7074056122127093, ""object"": 1.821462225161, ""robot"": 0.8557100028879456}",0.0,-0.25,-0.6320567498986699,1213,35,1.461525946753885,0.8294691968552151,14,joint,9,task09_state35
"{""joint"": 0.8182628342585697, ""natural"": 1.6920211629498312, ""object"": 1.8028719983954564, ""robot"": 0.8438480781063864}",0.0,-0.25,0.537026859363027,1213,35,1.1549943035868042,1.6920211629498312,14,natural,9,task09_state35
"{""joint"": 0.9603722637478866, ""natural"": 2.00289495438917, ""object"": 2.086397520814359, ""robot"": 0.9792148331973464}",1.0,0.75,0.7722368370362247,1217,35,1.3141606837781343,2.086397520814359,14,object,9,task09_state35
"{""joint"": 0.9642929451902776, ""natural"": 2.0091455726668888, ""object"": 2.1043026825198243, ""robot"": 0.9820937063567}",0.0,-0.25,-0.7104866937689637,1217,35,1.6925804001256637,0.9820937063567,14,robot,9,task09_state35
"{""joint"": 0.9774076325451021, ""natural"": 2.040013259553243, ""object"": 2.121193437672467, ""robot"": 0.9969150447193029}",0.0,-0.25,-0.741966281436569,1217,35,1.719373913981671,0.9774076325451021,14,joint,9,task09_state35
"{""joint"": 0.9553354208484939, ""natural"": 1.9902886905130064, ""object"": 2.0922363439479033, ""robot"": 0.9714778839412352}",0.0,-0.25,0.650605474267129,1217,35,1.3396832162458774,1.9902886905130064,14,natural,9,task09_state35
